Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,93.4616%,85906,1227962,1313868,668664,19217,66689,559298
0x1bef8,83.1825%,49399,244336,293735,221313,8310,41089,23023
0x1bf40,88.7535%,33035,260700,293735,219909,9958,23077,40791
0x1bf50,97.1864%,1797,62071,63868,61725,110,1687,346
0x1c230,62.1716%,216,355,571,42,157,59,313
0x1c380,71.2919%,180,447,627,360,74,106,87
0x1c294,73.4921%,167,463,630,43,117,50,420
0x1c2e8,76.3867%,149,482,631,420,54,95,62
0x1c228,79.2373%,147,561,708,20,117,30,541
0x1c45c,78.7719%,121,449,570,382,52,69,67
0x1c334,82.0064%,113,515,628,392,46,67,123
0x1c238,70.6989%,109,263,372,252,18,91,11
0x1c410,78.7634%,79,293,372,282,23,56,11
0x1c26c,90.1926%,56,515,571,465,29,27,50
0x1c36c,57.4713%,37,50,87,25,19,18,25
0x1beec,99.9929%,21,293713,293734,0,0,21,293713
0x1c3b8,67.1875%,21,43,64,30,10,11,13
0x1c4b0,82.3529%,18,84,102,71,9,9,13
0x161a4,99.9898%,16,156971,156987,156971,1,15,0
0x1bf0c,99.9766%,15,64097,64112,0,8,7,64097
0x1bed0,99.9781%,14,63853,63867,0,0,14,63853
0x1bf18,99.9797%,13,64091,64104,0,0,13,64091
0x1c288,98.1638%,13,695,708,0,8,5,695
0x1c320,58.0645%,13,18,31,6,6,7,12
0x1c384,94.3005%,11,182,193,126,3,8,56
0x1c338,94.7368%,10,180,190,100,3,7,80
0x1c494,25%,9,3,12,1,6,3,2
0x1c0bc,99.1089%,9,1001,1010,0,6,3,1001
0x1c0b4,99.211%,8,1006,1014,1,3,5,1005
0x1c3fc,65%,7,13,20,1,6,1,12
0x1c2b0,98.8906%,7,624,631,624,3,4,0
0x1c2bc,99.0491%,6,625,631,625,3,3,0
0x1c3c8,96.25%,6,154,160,139,1,5,15
0x1c0ec,99.4112%,6,1013,1019,1013,2,4,0
0x1c264,99.1243%,5,566,571,565,5,0,1
0x1c2ec,96.8153%,5,152,157,125,1,4,27
0x1c09c,99.5074%,5,1010,1015,0,2,3,1010
0x4dc88,50%,4,4,8,4,3,1,0
0x10b38,75%,4,12,16,5,3,1,7
0x4b950,62.5%,3,5,8,0,1,2,5
0x1be68,99.8524%,3,2029,2032,0,0,3,2029
0x1c2d0,99.5246%,3,628,631,627,3,0,1
0x1c460,97.7941%,3,133,136,123,1,2,10
0x1c670,81.25%,3,13,16,5,3,0,8
0x10b30,81.25%,3,13,16,6,2,1,7
0x4cd94,0%,2,0,2,0,1,1,0
