,Cycles,Insts,bmk,ipc,point,workload
omnetpp_1,1,8,omnetpp,8.0,1,omnetpp
omnetpp_10,1,3,omnetpp,3.0,10,omnetpp
omnetpp_11,1,1,omnetpp,1.0,11,omnetpp
omnetpp_2,1,3,omnetpp,3.0,2,omnetpp
omnetpp_3,1,1,omnetpp,1.0,3,omnetpp
omnetpp_4,1,8,omnetpp,8.0,4,omnetpp
omnetpp_5,1,8,omnetpp,8.0,5,omnetpp
omnetpp_6,1,8,omnetpp,8.0,6,omnetpp
omnetpp_7,1,8,omnetpp,8.0,7,omnetpp
omnetpp_8,1,8,omnetpp,8.0,8,omnetpp
omnetpp_9,1,8,omnetpp,8.0,9,omnetpp
