473.astar_rivers,473.astar_BigLakes
3.251768068781115,2.5620098777509352
PC,Total,Tage Correct,Tage Inorrect,Tage Accuracy,Tage MPKI,CNN Correct,CNN Inorrect,CNN Accuracy,CNN MPKI,MPKI Reduction,Selected Branch
0x1c238,58.365020799999996,39.061740099999994,19.303280700000002,0.6692662756662634,9.651642280328457e-05,41.6684439,16.696576899999997,0.7139283654637197,8.348290119658022e-05,1.3033521606704344e-05,No
0x1c45c,98.5429004,79.01632469999998,19.52657570000001,0.8018469557853606,9.763289802657966e-05,83.190153,15.352747399999998,0.8442023997905383,7.676375235275046e-05,2.0869145673829193e-05,No
0x1c228,147.2387344,96.83783109999999,50.40090330000001,0.6576926343099564,0.00025200456690091343,98.84295689999999,48.39577750000001,0.6713108293329638,0.0002419789358957872,1.0025631005126229e-05,No
0x1c2e8,113.18455269999998,87.389479,25.79507369999999,0.7720972245358355,0.0001289753942950788,93.5087148,19.675837899999976,0.8261614555110578,9.837920917584172e-05,3.059618511923708e-05,No
0x11f50,388.30630570000005,240.70930090000002,147.59700480000004,0.6198954211317099,0.0007379851715970346,265.9540862,122.35221950000005,0.684907976759647,0.0006117612198522441,0.00012622395174479047,Yes
0x11f58,382.3632106,329.144625,53.21858559999998,0.8608166682236766,0.0002660929812185962,355.39667140000006,26.966539199999943,0.929474022467579,0.0001348327229665443,0.00013126025825205186,Yes
-0x1,6403792.053718699,5753387.073201499,650404.9805172002,0.8984344002645264,3.2520255529911117,0,0,0,0,3.2520255529911117,No
